Price,Artist,Title,link,Suburb,Tag
$300.00 ,Natasha Allen,Mountains with Yellow Flowers,https://drive.google.com/file/d/1NE_3nseAi9853y8RpcsoZMv43Pev8g3L/view?usp=drive_link,Chatswood,Natural
$350.00 ,Natasha Allen,Mountains Purple,https://drive.google.com/file/d/1QxARu9OHGaSdDBt1YzfAp1Hzjs6mRrrh/view?usp=drive_link,Belmore,Refined
$400.00 ,Natasha Allen,Mountains Grass and Tree,https://drive.google.com/file/d/1HJTirlVoqGz4vaGL0RLJR4WEemBvN-Y3/view?usp=drive_link,Bondi Beach,Natural
$100.00 ,Natasha Allen,Crashing Wave,https://drive.google.com/file/d/1ZDKgy9DVtYQUO_tFuUR8BMEiJkxr8ppw/view?usp=drive_link,Coogee,Coastal
$500.00 ,Natasha Allen,Dessert Tree Purplr,https://drive.google.com/file/d/19ni2QbNl_kVgY4Y0CZvdumbjfDKKndBH/view?usp=drive_link,Bronte,Artisanal
"$1,000.00 ",Heidi Lee Warta,Tawny,https://drive.google.com/file/d/1pxtNY5l5wIQLNb9Xg7Gm9d6eapn8c_RZ/view?usp=drive_link,Manly,Refined
$900.00 ,Heidi Lee Warta,Kookaburra,https://drive.google.com/file/d/1R8EoG5_G_Qnr493GQ6lMcds9g516vjiF/view?usp=drive_link,Mosman,Wholesome
$700.00 ,Heidi Lee Warta,Fairy Wren's,https://drive.google.com/file/d/1iJd3f5ck6gFuuSVBwCmDw8ZzHbztNwhn/view?usp=drive_link,Woollahra,Wholesome
$850.00 ,Chris Mercer,Art,https://drive.google.com/file/d/112F-zhTI8sJjGodHj4pnxGHEfneo68KR/view?usp=drive_link,Neutral Bay,Cosmopolitan
"$4,000.00 ",Yelena Revis,Whisper of the Wind,https://drive.google.com/file/d/1VoDZco5pskwFi6V3KkOxLN2u8EbYN5zB/view?usp=drive_link,Cremorne,Serene
"$5,000.00 ",Yelena Revis,Silent Expanse,https://drive.google.com/file/d/1gUa4ujLnu_oIM4OK1baDLbhzAIzjycDU/view?usp=drive_link,Parramatta,Serene
"$3,500.00 ",Yelena Revis,Garden of the Eden,https://drive.google.com/file/d/1pXFXDobhC8itlCi_2t-hOqgEnS9gHfxd/view?usp=drive_link,Penrith,Cultivated
"$2,900.00 ",Chantelle Steward,Paper Daises,https://drive.google.com/file/d/1gVMZfu3tyUf0vi4vbB-LBA6bTpqm8eJC/view?usp=drive_link,Cronulla,Wholesome
"$10,000.00 ",Stephen Evans,Sydney Harbour,https://drive.google.com/file/d/1mSQs9zoF92YjDSu8qtIhA0jIj6iqkME8/view?usp=drive_link,Miranda,Iconic
"$10,000.00 ",Stephen Evans,Nike,https://drive.google.com/file/d/1sdhvSKmYNBm8IGpq3qd33Uq7LPo-j3ER/view?usp=drive_link,Liverpool,Dynamic
"$10,000.00 ",Michelle Purves,Floating in Honey Clouds,https://drive.google.com/file/d/1fo_bO5zkkXEtCYvpeiBskW7LHSercf9-/view?usp=drive_link,Campbelltown,Serene
"$10,000.00 ",Michelle Purves,Whisper of Celestial Dreams,https://drive.google.com/file/d/1ts8zKBo8_HWqq5pYTRMwaSrZJDeVJuQA/view?usp=drive_link,Hornsby,Sophisticated
